"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"Rv0570",880.010037946374,-0.240544634367547,0.11308537704849,0.0192192781663697,0.0366595056439579
"Rv0571c",440.124298583106,0.379974319066603,0.105890524490948,0.000121901211831182,0.000372637293968186
"Rv0572c",54.1342910493474,0.785680976196529,0.226389989447755,5.66350502567581e-05,0.00018416810700828
"Rv0573c",199.496311913171,0.54229069548155,0.12245410030518,2.04320717606764e-06,8.43804251217136e-06
"Rv0574c",197.159451014336,0.868520199304757,0.133336599722185,8.09756311977369e-12,7.43741536428174e-11
"Rv0575c",36.2825637637817,0.134154722383947,0.222398944875004,0.373073343909029,0.466165449994178
"Rv0576",1794.08245700926,-0.0803149661060299,0.0635625413938894,0.202298226491435,0.280377472582105
"Rv0577",1270.85202952042,0.00404651187309907,0.0614206608081983,0.97884289826985,0.986532743643993
"Rv0578c",5884.20702414628,0.761518263284387,0.0912644481655743,9.46532859250832e-18,1.80112975178974e-16
"Rv0579",899.662841057238,-0.241487367907792,0.0748803487904117,0.000811147210370957,0.00208528277675843
"Rv0580c",1499.584783866,0.565886911672853,0.0852915045455454,7.0050996819216e-12,6.49400499650401e-11
"Rv0581",223.044512082022,-0.152666298631606,0.105731398741447,0.118762555748575,0.179930927318888
"Rv0582",1022.62545194715,-0.386058202761973,0.103563092564057,5.7453865617199e-05,0.000186678123823203
"Rv0583c",655.527405507521,0.110960706450954,0.0772459766619875,0.133011757219527,0.197309868878052
"Rv0584",688.173463360181,0.0562656228634354,0.0882719247037717,0.50525660338722,0.593971478472059
"Rv0585c",476.573664517793,0.0960256468188704,0.0858222079657118,0.239081204268645,0.322313881144543
"Rv0586",130.625060694136,-0.793408743445228,0.162697953784993,1.28829449988624e-07,6.44471349188373e-07
"Rv0587",167.293201077712,-0.562146024542593,0.170103676325814,0.000164538641648526,0.000490532367193543
"Rv0588",183.376783306523,-0.143444863300157,0.1366183189887,0.231637407513877,0.313234263747939
"Rv0589",109.038918284183,-0.365806705628854,0.172141424004045,0.0114212948906152,0.0229406514040285
"Rv0590",177.189419173363,-0.198554328043583,0.145717086732095,0.114239591798405,0.174073125127301
"Rv0590A",3.65440701674027,0.00327468505632199,0.273836921799081,0.962714911962296,0.974724339326388
"Rv0591",53.2772977902411,0.0341660284237575,0.173716689811869,0.804611274893727,0.855350060747201
"Rv0592",72.2928812256671,0.277175023932805,0.174226976342989,0.0529839227277477,0.0890981229125803
"Rv0593",173.497695860073,0.129429289805946,0.134056721831484,0.271918075778694,0.359097077160146
"Rv0594",349.780788085394,0.00984318886134572,0.103894622525616,0.91389351235234,0.938433901013492
"Rv0595c",144.289564503607,0.106340653446398,0.14143766472174,0.387068341511401,0.48060280805209
"Rv0596c",50.8245526443623,0.341770792570711,0.207133964017562,0.0340678514817507,0.06021682015241
"Rv0597c",1806.82542822326,-0.0942791204334972,0.0953847730223684,0.293119839068444,0.382836650238162
"Rv0598c",677.912980334712,-0.161429160487697,0.119445276397719,0.136717647257941,0.201978485566431
"Rv0599c",61.434752767199,-0.304056309316896,0.184809106334043,0.0410823003635896,0.0710366558895634
"Rv0600c",23.0365282227854,0.223416261557461,0.245872476198409,0.170309849000253,0.242507078221986
"Rv0601c",18.8033216970949,0.724374597461248,0.360829240561148,0.00414866361797277,0.00916624178259873
"Rv0602c",34.6120294534945,0.301376943180087,0.248831689301922,0.0789882966357173,0.125503977515081
"Rv0603",16.2392304869046,0.966934574968533,0.431247035713774,0.00169986345799481,0.00410215835706637
"Rv0604",621.831416901313,0.4549992702705,0.0794700235328272,2.6630237597743e-09,1.70545015984258e-08
"Rv0605",361.334635913476,-0.030229839740569,0.104494063042793,0.763366718333733,0.821848792315446
"Rv0606",729.031344700476,-0.0591982598983152,0.0715004067611109,0.391286691309472,0.484479194065309
"Rv0607",40.219647002303,0.166690212865844,0.203129979393982,0.269975388277311,0.357064223205476
"Rv0608",337.160835668204,0.645981391004494,0.109991025817928,7.44734322117857e-10,5.19615508607495e-09
"Rv0609",349.057901600079,0.192672395711211,0.103688667460197,0.045445746689673,0.0777701095459679
"Rv0609A",112.810197906676,-0.163737654666794,0.141565246367368,0.182656709099773,0.257415213355705
"Rv0610c",579.774309412566,0.0617410884195287,0.0781023561602361,0.409799169444945,0.502395590900908
"Rv0611c",520.894242702621,-0.315999502922248,0.129033055486215,0.00655562696457151,0.0139570280717885
"Rv0612",143.402169195674,0.0540198924928775,0.138299925559849,0.648737410031583,0.723304928426018
"Rv0613c",7588.42195952496,0.385224928157998,0.0540672966468003,6.0752934791867e-13,6.35827425440145e-12
