"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"Rv2101",3144.08362607392,-0.031278573638642,0.0897656237261185,0.718925075705414,0.799542792528085
"Rv2102",827.765340856573,-0.122649590434238,0.108909366895791,0.199838627488303,0.30756897117685
"Rv2103c",235.017617612581,-0.0280159548276376,0.10295248778133,0.758430549544445,0.830701816452288
"Rv2104c",126.22056234497,-0.128427557839059,0.132063673664898,0.239760276432108,0.354339137633034
"Rv2105",45.1013667518264,0.0981299439439132,0.168414651139799,0.414027368720427,0.538906191403699
"Rv2106",72.6462386619037,0.226269450843711,0.166069783506117,0.0757430767228909,0.138624121549442
"Rv2107",11.0881331753773,-0.0845039031326077,0.232069282785179,0.342953754331178,0.46870346425261
"Rv2108",222.023737363453,-0.0169842176355777,0.111354007326535,0.873195580097826,0.915796102861037
"Rv2109c",2172.64351626583,-0.235369320067762,0.0622936762213454,8.71939309422193e-05,0.000377334345328842
"Rv2110c",3271.63854572838,-0.316646541528214,0.0589216148362199,2.48145191293184e-08,2.28972952615544e-07
"Rv2111c",270.111619216616,-0.258170012464373,0.126934024723935,0.0175534615328054,0.0411131428244801
"Rv2112c",2716.42974285234,0.0431794438542352,0.0750012770136268,0.545508050274786,0.658617339387621
"Rv2113",575.303163407001,0.304215612692232,0.0753710888431015,2.14084156278036e-05,0.000106161183231639
"Rv2114",1132.39677286085,-0.159170202596438,0.0747229818919225,0.0236501358560476,0.0531093112927731
"Rv2115c",7025.06989388459,-0.0345044825681423,0.0543602499113275,0.518335539136471,0.634581438774981
"Rv2116",81.2671501407018,0.320775280267706,0.179822420828184,0.0201914183831648,0.0464786353482641
"Rv2117",104.985408346903,-0.0448993065885601,0.129629142647944,0.677095560917322,0.770520292761608
"Rv2118c",650.238497125722,-0.0956887040215569,0.0948241086911106,0.267311727227785,0.387709241132349
"Rv2119",333.632471243309,0.100832526728784,0.107792622381393,0.290347153322608,0.413874777334771
"Rv2120c",288.3160924227,0.417064540413521,0.113393269312505,5.21857636502822e-05,0.000238281035633952
"Rv2121c",162.618312272345,0.597450035445465,0.139203743111453,2.27654445377651e-06,1.43256602732107e-05
"Rv2122c",15.3140840602573,0.154335507909591,0.253597623930651,0.178515052714101,0.280725332006319
"Rv2123",179.729306710013,-0.152563832067917,0.126697898185188,0.153129125916417,0.247357649784561
"Rv2124c",6329.04574361185,-0.254964088234871,0.066923942032737,6.76249317500442e-05,0.000301169488880096
"Rv2125",1154.53149160513,-0.0721016510654462,0.0761656068535009,0.316734228357302,0.441983167079646
"Rv2126c",197.798924842092,0.24705113197991,0.118491322769407,0.016560755098819,0.0390641299098477
"Rv2127",2847.30940420613,-0.0821037509096822,0.0495708594949756,0.0893796178493196,0.159496397445088
"Rv2128",62.9043470266898,-0.033144459613578,0.156087916750262,0.768342521918736,0.83901653203482
"Rv2129c",1365.2367421892,-0.252994779794398,0.0605327561834894,1.42758093732692e-05,7.35230222260158e-05
"Rv2130c",2177.35167525046,-0.0158724109862296,0.0576640346032339,0.784396570615666,0.850939760321469
"Rv2131c",3340.21117773342,-0.480682225162829,0.0717669311609047,3.65117173886437e-12,5.87882996172616e-11
"Rv2132",126.543245171061,-0.17521000010852,0.141154141442309,0.1266826156111,0.211954885269393
"Rv2133c",786.276088479407,-0.1889564332357,0.069473833293423,0.0042189413524301,0.0118076915964916
"Rv2134c",1309.89765321838,-0.153444330054983,0.0850784762397161,0.051873320310164,0.102636912872399
"Rv2135c",906.106856220171,0.117785230830779,0.0781141979334006,0.110109834465659,0.189816563359308
"Rv2136c",970.505334274193,0.18020859215061,0.0616075891883213,0.00242662794593917,0.00736132672845162
"Rv2137c",1432.57551103844,0.293933980779113,0.12478855017679,0.00680597489723492,0.0180088903302084
"Rv2138",1270.34611995564,-0.43614240078469,0.063349553013797,9.51975473040449e-13,1.69018145369726e-11
"Rv2139",2567.53010205173,0.187782339259599,0.057020475914383,0.000661251622206937,0.00231402648586727
"Rv2140c",495.131546776064,0.32999240416802,0.0804619210758644,1.4290494387908e-05,7.35230222260158e-05
"Rv2141c",748.603505477894,0.885151939731547,0.0773637398676852,2.04423640636277e-31,1.93569718764399e-29
"Rv2142A",131.851482275622,-0.326571301496321,0.209397427772037,0.0284883063446625,0.0621492014990252
"Rv2142c",85.939244325674,-0.682964785826968,0.23545304107292,0.000344813982583882,0.00128762930397756
"Rv2143",730.93378768479,-0.0162474216041786,0.0725760628547522,0.814955224870216,0.874336301588714
"Rv2144c",1253.1747755978,0.0691397513537173,0.0837309898398206,0.375800221679089,0.502372262728651
"Rv2145c",5313.35578305875,-0.294866106180062,0.0735264593419926,2.39370308466725e-05,0.000117094184104817
"Rv2146c",262.860616998174,0.0218503206240448,0.105103591899011,0.815580460308132,0.874511590899283
"Rv2147c",5074.52210913532,0.0409729331285189,0.099654167463104,0.650526483877522,0.747128497970863
"Rv2148c",1088.83726479465,0.0411629811520335,0.081295662913157,0.590140670837913,0.697056563089509
"Rv2149c",2223.94237423288,-0.00363056872528907,0.0965890579540414,0.962217719013096,0.975522982830137
"Rv2150c",7923.76463003071,0.0668327907919891,0.0727120846246258,0.333753777388267,0.458493531147889
"Rv2151c",1948.28017354954,-0.195862140975942,0.0876868199949166,0.0153457103494443,0.0365448443471497
"Rv2152c",3226.33979083385,-0.202683058236994,0.089858266985508,0.0141752372965403,0.0340428253190465
"Rv2153c",3575.56578397692,-0.182191383553002,0.0906235977013923,0.0278656033776703,0.0610534410744008
"Rv2154c",6648.58869890437,-0.138444289183637,0.102296310912834,0.125763646744581,0.210764583327106
"Rv2155c",3342.65299712693,-0.0945456671934456,0.0702154416996794,0.151472249200179,0.245179135152264
"Rv2156c",2586.48963876741,-0.138459265927495,0.0866039272393167,0.0832562882645605,0.150436282793347
"Rv2157c",3550.68753121651,-0.118460175730978,0.0821504136020942,0.132396739709726,0.219702790982751
"Rv2158c",9900.07617342385,-0.313943564483346,0.0717563772697572,4.44596523424271e-06,2.61949684986419e-05
"Rv2159c",13236.3432534226,-0.205231219852353,0.0886560427410014,0.0109224064653566,0.0270981974502327
"Rv2160A",4319.63684217031,-0.37760919729558,0.0694646889889216,1.52895489752086e-08,1.47588680277681e-07
"Rv2160c",686.37882059101,-0.124350672199256,0.137454082394367,0.268872937417569,0.389633225391982
"Rv2161c",16904.5833520914,-0.29143374047002,0.0798141763428501,7.94901536334988e-05,0.000347016839737019
"Rv2162c",11271.7027452806,0.24832562262744,0.0867035023179991,0.00203849164190681,0.00629920843812229
"Rv2163c",4195.63472350603,-0.243385779275971,0.139230559247164,0.0330787427427165,0.0705762660342185
"Rv2164c",4696.08163761688,-0.244400911768958,0.174467139478731,0.0645520000415899,0.122658052635166
"Rv2165c",2028.72121463944,-0.259867208009888,0.199702202227625,0.0610316930586026,0.117370910683783
"Rv2166c",3527.94336312314,-0.336216189286119,0.143261795440332,0.00444494385406547,0.0123645839013129
"Rv2167c",72.6462386619037,0.226269450843711,0.166069783506117,0.0757430767228909,0.138624121549442
"Rv2168c",45.1013667518264,0.0981299439439132,0.168414651139799,0.414027368720427,0.538906191403699
"Rv2169c",756.400324978936,-0.488055228208655,0.118138835349614,6.08717235809256e-06,3.44362510215279e-05
"Rv2170",219.09073729612,0.0105261385131834,0.102922654789867,0.909429229517952,0.943106422662815
"Rv2171",644.891777876607,-0.0714340560328567,0.0692309009069585,0.277824577580159,0.399894442647952
"Rv2172c",3020.60385553866,-0.311154299974357,0.0721571788677819,5.81567353190967e-06,3.31360080750785e-05
"Rv2173",1083.07046664707,-0.0159298609577445,0.0800928205599475,0.831181394791558,0.884118790988578
"Rv2174",1442.20430107501,0.0812721789701654,0.0699534057452957,0.220813143020157,0.33251566444194
"Rv2175c",509.264507294252,-0.0426160757497532,0.117216302052951,0.672473238246616,0.767190495842453
"Rv2176",487.681029804303,-0.08235572313577,0.0908925027966536,0.322877771595098,0.447771994888707
"Rv2177c",356.464496712287,0.0183685950543021,0.0973653974671146,0.836112776548729,0.887909349087929
"Rv2178c",5083.67712748103,-0.184467199374921,0.0747413384195665,0.00876463235152334,0.0224738509748603
"Rv2179c",80.7380024609158,0.276761004488449,0.188235649170547,0.0454086639538984,0.0919502324565448
"Rv2180c",407.17033098723,0.059204006673016,0.0987362469755903,0.513741929245262,0.630991863066215
"Rv2181",2645.74804740431,0.0189956464352195,0.0830112194907224,0.803166402381311,0.866729774033066
"Rv2182c",2143.28313667416,-0.0896812158980539,0.0623007407867836,0.133524677704058,0.220985286404095
"Rv2183c",391.72860457048,-0.00488255916525965,0.0927808585958743,0.953094744271496,0.970916444151573
"Rv2184c",1068.73632196214,0.159318901641183,0.0755443147595334,0.0251632958063751,0.0558269319129556
"Rv2185c",456.040650869434,0.48141312051261,0.100286627361266,3.13795073675404e-07,2.2856465348115e-06
"Rv2186c",177.355996123309,0.455780417830157,0.159092815555673,0.000725420383594902,0.00251306347173948
"Rv2187",2171.94993808205,0.0463372261371893,0.0606784793832052,0.431895324492709,0.556773972611833
"Rv2188c",403.03405617762,0.180248577567925,0.089752104653474,0.029870853073703,0.0647744725594967
"Rv2189c",675.986384692245,0.603914449550526,0.12637504240487,2.18546497360414e-07,1.65239433460526e-06
"Rv2190c",8077.47028450075,0.619483749715521,0.0939388423632742,5.52421787826822e-12,8.68372114698527e-11
"Rv2191",777.458272328548,-0.0358810734195879,0.097181104845544,0.683341889148841,0.775142810366498
"Rv2192c",1864.75218551969,0.0217533616330353,0.0555672967200943,0.683745826905089,0.775379855603518
"Rv2193",6134.24748232775,0.0201070805502128,0.0709026528805147,0.765757012410182,0.837112599877761
"Rv2194",4710.806840586,0.243856656863789,0.0571952366029107,1.05847939242039e-05,5.68861154548094e-05
"Rv2195",11046.4379846234,0.269319164068406,0.0645170426736708,1.40460218319325e-05,7.26411298122179e-05
"Rv2196",21109.6889759147,0.170494153470863,0.068130068875775,0.00910223142927137,0.023294449417125
"Rv2197c",1573.48014038003,-0.0524754783916264,0.0781229446345075,0.498898827664076,0.61772124458905
"Rv2198c",1373.56379534442,-0.091824921172838,0.0837134582513852,0.241269927788433,0.356173163628285
"Rv2199c",2121.18351938234,0.00713404079124834,0.0617294355095117,0.917865407420549,0.947896838564405
"Rv2200c",3135.57028850304,0.0222599300293511,0.085389132827434,0.780432414142156,0.847904546677505
"Rv2201",2044.00519953345,0.0465229733870951,0.0530705888561054,0.364454594432198,0.490473813529542
"Rv2202c",6526.44630218008,0.0607779017996641,0.0451808888397067,0.172009334661854,0.272650906317335
"Rv2203",2171.29215756146,-0.331224671681484,0.0546745463488127,4.71809251622436e-10,5.65176323404346e-09
"Rv2204c",3360.72495596627,-0.408292435879775,0.0521009124389149,1.04037667712205e-15,2.52291344202098e-14
"Rv2205c",291.687181452586,0.115860617850326,0.100358798103126,0.202566389214578,0.309862352429138
"Rv2206",924.106779368244,0.292525571459898,0.109951914992086,0.00293620561430756,0.00864984424303791
"Rv2207",1368.57833330964,0.322171075267454,0.0820784749999791,2.88779704659317e-05,0.000138872658455877
"Rv2208",1139.70420787517,0.190956521766277,0.0587589686543732,0.00090315781040437,0.00304137054358864
"Rv2209",1706.06788350789,-0.118944797942566,0.0637135473120051,0.0690851239014012,0.129538678809935
"Rv2210c",1368.22592091025,0.0246398708767425,0.0675336847196885,0.702114078680042,0.787008932049191
"Rv2211c",1783.02185109777,0.0202108163399733,0.0677282111078924,0.758064247646484,0.830701816452288
"Rv2212",1132.97788133039,-0.371394078071579,0.0711308911413177,5.06682776276888e-08,4.39973231714669e-07
"Rv2213",2461.22705223948,0.424992305216501,0.0636891591983589,6.07409935862567e-12,9.47321299970756e-11
"Rv2214c",3749.90870451856,-0.147121504160514,0.0588272138747791,0.00953887901088605,0.0241939552463609
"Rv2215",7471.07483467426,-0.124459652999334,0.0768327521059058,0.0836849253756601,0.151142119990463
"Rv2216",2641.16752808985,-0.196738488573438,0.0779638434883467,0.00695948302556173,0.0183539341018045
"Rv2217",2071.7167827946,-0.253319099832261,0.0537344217941171,1.38973442359511e-06,8.98694927258173e-06
"Rv2218",3545.66567454308,-0.164754542147737,0.047934543735526,0.000425674829348303,0.00155455353197263
"Rv2219",2942.90902588613,0.0375887463066219,0.0548937700165376,0.483183169513173,0.603124462042913
"Rv2219A",572.584171593328,0.0639785728968799,0.0986072398440335,0.475613098768986,0.596691890789987
"Rv2220",5691.39747851288,0.328345181949693,0.0930699201724605,0.000140147234133612,0.000572908966521663
"Rv2221c",4544.25797794959,0.269885929419122,0.0589113066887222,2.25680647631331e-06,1.42239609450048e-05
"Rv2222c",4056.87763775234,-0.0436194648421635,0.0481604427498559,0.364391348821374,0.490473813529542
"Rv2223c",1692.02041974641,-0.24994442031774,0.0583475197498246,9.57092240445174e-06,5.18577089952378e-05
"Rv2224c",2604.02868103127,-0.0755390620583244,0.053871335969496,0.15322602113845,0.247413676844343
"Rv2225",2472.6029256329,-0.188154272090787,0.0669536000603284,0.00324521205341415,0.00943436281902636
"Rv2226",1135.28492488845,0.236969269360477,0.0657310339660842,0.000169045568992426,0.000677715955527094
"Rv2227",525.5351194384,-0.135488923773399,0.0767765941237147,0.0618065955152452,0.118381195891147
"Rv2228c",764.0364568327,0.173518692343378,0.0939011453444443,0.0433751297317234,0.0884633414434583
"Rv2229c",422.074549169424,0.0867028108857874,0.0994555450211852,0.348107641564473,0.474280263960914
"Rv2230c",786.296753424556,0.251614390644479,0.0962679111209031,0.00444590268515904,0.0123645839013129
"Rv2231A",46.6992941548704,-0.124437697909771,0.183223882476928,0.315871281304706,0.441243444239135
"Rv2231B",0,NA,NA,NA,NA
"Rv2231c",719.192886869598,0.0976628853893061,0.0940253056156494,0.251152825748653,0.367624139861021
"Rv2232",956.726482259046,-0.187897971140957,0.0807024776597684,0.0124395684099685,0.0302767218888891
"Rv2234",510.322498806523,-0.457361620644434,0.0943001028333154,2.86109354179579e-07,2.10324750752715e-06
"Rv2235",1154.09777632263,-0.261967543805737,0.061902392814983,1.16146876174116e-05,6.15068077955338e-05
