"","x"
"Rv0086",0.0385048441340392
"Rv0087",0.0114032190393472
"Rv0088",0.0211055645646839
"Rv0089",0.00558262522611989
"Rv0090",0.0025480382805388
"Rv0091",0.00100156521152111
"Rv0092",0.00042768266591658
"Rv0093c",0.162330615876771
"Rv0094c",0.0128227965097004
"Rv0095c",0.0179537697017373
"Rv0096",0.0130980602649857
"Rv0097",0.0192923804335441
"Rv0098",0.015674611512206
"Rv0099",0.00894600094512136
"Rv0100",1.64911457736766e-08
"Rv0101",0.0262244257564106
"Rv0102",0.0434908684788624
"Rv0103c",0.0234471978197124
"Rv0104",0.00267046961373859
"Rv0105c",0.000974735927751875
"Rv0106",0.000456061811423514
"Rv0107c",0.0135946185993366
"Rv0108c",0.0079696535621865
"Rv0109",0.00699676214812487
"Rv0110",0.00770847483405526
"Rv0111",0.0547427516605552
"Rv0112",0.00710664746506548
"Rv0113",1.92348032448942e-05
"Rv0114",0.0196573490776676
"Rv0115",0.00126608956914256
"Rv0116c",0.0480555794764869
"Rv0117",0.00211018296017996
"Rv0118c",0.0042941944435526
"Rv0119",0.0227057893253825
"Rv0120c",0.133278723011572
"Rv0121c",0.0503289744353207
"Rv0122",0.0851188074957646
"Rv0123",0.0212198396385809
"Rv0124",0.0124777602063972
"Rv0125",0.00286206408889963
"Rv0126",0.00114809771625145
"Rv0127",0.012691923778175
"Rv0128",0.00129401319616377
"Rv0129c",0.0167467252644318
"Rv0130",0.0270688237461044
"Rv0131c",8.11887523199029e-08
"Rv0132c",0.0572532555503988
"Rv0133",0.0126087778425903
"Rv0134",0.00185091236486876
"Rv0135c",0.02704895687228
"Rv0136",0.00448261246727329
"Rv0137c",0.0105978371769598
"Rv0138",0.000323589822200198
"Rv0139",0.0169387059937411
"Rv0140",0.0259265116007276
"Rv0141c",4.75594385982668e-05
"Rv0142",0.00224856770707387
"Rv0143c",0.00770592344883485
"Rv0144",0.0208025704898366
"Rv0145",0.0262001683637864
"Rv0146",0.0451384793370184
"Rv0147",0.000438100294096079
"Rv0148",0.00194445058422294
"Rv0149",0.00181104421782193
"Rv0150c",0.000718675805140596
"Rv0151c",0.000394106689462151
"Rv0152c",0.018950112437942
"Rv0153c",0.0108977216277323
"Rv0154c",0.0281533274393343
"Rv0155",0.0642313941232895
"Rv0156",0.037134543240392
"Rv0157",0.0795272949617807
"Rv0157A",0
"Rv0158",0.0104854057339928
"Rv0159c",8.54757224650225e-09
"Rv0160c",0.00313310551518562
"Rv0161",0.014348068019444
"Rv0162c",0.0602813424391124
"Rv0163",9.06423254731719e-05
"Rv0164",0.000209394574675188
"Rv0165c",0.0133562672940324
"Rv0166",0.0375928800702119
"Rv0167",0.0575920913923208
"Rv0168",0.0295287683947329
"Rv0169",0.0383422316624894
"Rv0170",0.0240647343855194
"Rv0171",0.0405688560682966
"Rv0172",0.0149069513002998
"Rv0173",0.0211884548706802
"Rv0174",0.0175588849001573
"Rv0175",0.0059494097423471
"Rv0176",0.00527694548936051
"Rv0177",0.00341080326895172
"Rv0178",0.0030340042191479
"Rv0179c",0.0174299171079308
"Rv0180c",0.00506319531106176
"Rv0181c",0.000154897068214528
"Rv0182c",0.000609372609766113
"Rv0183",0.0321053030001516
"Rv0184",0.016571041565255
"Rv0185",0.0311674121243471
"Rv0186",0.0130563081882962
"Rv0186A",0
"Rv0187",0.00781703773092594
"Rv0188",0.00316014453778354
"Rv0189c",0.0608003087743652
"Rv0190",0.00394972057725254
"Rv0191",0.0108441256255313
"Rv0192",0.0363395756800612
"Rv0192A",8.84931983533555e-05
"Rv0193c",0.0578986129929345
"Rv0194",0.000430744014734377
"Rv0195",0.0667129386991418
"Rv0196",0.0746451120136294
"Rv0197",0.0447562812384579
"Rv0198c",0.00772316436147481
"Rv0199",0.0600083249563808
"Rv0200",0.0502990878807508
"Rv0201c",0.00686059040636374
"Rv0202c",0.0402522981013155
"Rv0203",0.113569629886208
